link,src,tp,count,dst[0],dst[1],dst[2]
1728,3,1,1,1712,1714,1725
1729,3,1,1,1724,,
1730,3,1,1,1719,,
1731,3,1,1,1717,,
1732,3,1,1,1713,,
1733,3,1,1,1711,,
1735,482,2,32768,1721,,
1737,491,2,32768,1721,,
1739,518,2,16384,1715,,
1740,518,2,1024,1723,,
1742,534,2,32768,1721,,
1744,543,2,32768,1721,,
1746,570,2,4194304,1720,,
1748,579,2,16384,1715,,
1750,587,2,4194304,1722,,
1752,596,2,4194304,1722,,
1754,604,2,4194304,1720,,
1757,1711,2,8,482,,
1759,1712,1,1,1711,,
1762,1713,2,8,491,,
1764,1714,1,1,1713,,
1767,1715,2,16384,518,,
1770,1716,2,256,534,,
1772,1717,1,16,1716,,
1773,1717,1,16,1716,,
1776,1718,2,32768,543,,
1778,1719,1,4096,1718,,
1779,1719,1,4096,1718,,
1782,1720,2,4194304,570,579,
1787,1721,2,32768,587,596,
1790,1722,2,4194304,604,,
1795,1723,1,128,1726,,
1797,1724,1,128,1723,,
1798,1724,1,128,1723,,
1800,1725,2,1024,1723,,
1802,1726,1,1,3,,
