link,ctx,src,tp,count,dst[0],out[0],dst[1],out[1],dst[2],out[2],dst[3],out[3],dst[4],out[4]
/TopQuery/TopDB/sortB_sort/blockSort/nextIter_42/nextIter_42_src,/TopQuery/TopDB/sortB_sort/blockSort/storeCtrl,/TopQuery/TopDB/sortB_sort/blockSort/storeCtrl,1,10,/TopQuery/TopDB/sortB_sort/blockSort/loadCtrl,/TopQuery/TopDB/sortB_sort/blockSort/nextIter_42/nextIter_42_dst0,,,,,,,,
/TopQuery/TopDB/sortA_sort/blockSort/pcu1Out_23/pcu1Out_23_src,/TopQuery/TopDB/sortA_sort/blockSort/pcu1,/TopQuery/TopDB/sortA_sort/blockSort/pcu1,2,100000,/TopQuery/TopDB/sortA_sort/blockSort/pmu0,/TopQuery/TopDB/sortA_sort/blockSort/pcu1Out_23/pcu1Out_23_dst0,,,,,,,,
/TopQuery/TopDB/sortB_sort/mergeSort/storeData_56/storeData_56_src,/TopQuery/TopDB/sortB_sort/mergeSort/mergeTree/pcu_0,/TopQuery/TopDB/sortB_sort/mergeSort/mergeTree/pcu_0,2,100000,/TopQuery/TopDB/sortB_sort/mergeSort/storeCtrl,/TopQuery/TopDB/sortB_sort/mergeSort/storeData_56/storeData_56_dst0,,,,,,,,
/TopQuery/TopDB/sortB_sort/blockSort/pmu0Out1_46/pmu0Out1_46_src,/TopQuery/TopDB/sortB_sort/blockSort/pmu0,/TopQuery/TopDB/sortB_sort/blockSort/pmu0,2,100000,/TopQuery/TopDB/sortB_sort/blockSort/pmu1,/TopQuery/TopDB/sortB_sort/blockSort/pmu0Out1_46/pmu0Out1_46_dst0,,,,,,,,
/TopQuery/TopDB/join_out_61/join_out_61_src,/TopQuery/TopDB/join_join,/TopQuery/TopDB/join_join,2,100000,/TopQuery/TopDB/joinDemux_demux,/TopQuery/TopDB/join_out_61/join_out_61_dst0,,,,,,,,
/TopQuery/TopDB/sortB_sort/mergeSort/nextIterBroadcast_51/nextIterBroadcast_51_src,/TopQuery/TopDB/sortB_sort/mergeSort/storeCtrl,/TopQuery/TopDB/sortB_sort/mergeSort/storeCtrl,1,10,/TopQuery/TopDB/sortB_sort/mergeSort/loadCtrl0,/TopQuery/TopDB/sortB_sort/mergeSort/nextIterBroadcast_51/nextIterBroadcast_51_dst0,/TopQuery/TopDB/sortB_sort/mergeSort/loadCtrl1,/TopQuery/TopDB/sortB_sort/mergeSort/nextIterBroadcast_51/nextIterBroadcast_51_dst1,/TopQuery/TopDB/sortB_sort/mergeSort/loadCtrl2,/TopQuery/TopDB/sortB_sort/mergeSort/nextIterBroadcast_51/nextIterBroadcast_51_dst2,/TopQuery/TopDB/sortB_sort/mergeSort/loadCtrl3,/TopQuery/TopDB/sortB_sort/mergeSort/nextIterBroadcast_51/nextIterBroadcast_51_dst3,,
/TopQuery/TopDB/sortB_sort/blockSort/data_40/data_40_src,/TopQuery/TopDB/sortB_sort/blockSort/loadCtrl,/TopQuery/TopDB/sortB_sort/blockSort/loadCtrl,2,100000,/TopQuery/TopDB/sortB_sort/blockSort/pmu0,/TopQuery/TopDB/sortB_sort/blockSort/data_40/data_40_dst0,,,,,,,,
/TopQuery/TopDB/loadA_out_0/loadA_out_0_src,/TopQuery/TopDB/loadA_tableLoad/muxTree/mux_pcu,/TopQuery/TopDB/loadA_tableLoad/muxTree/mux_pcu,2,100000,/TopQuery/TopDB/storeA_store,/TopQuery/TopDB/loadA_out_0/loadA_out_0_dst0,,,,,,,,
/TopQuery/TopDB/sortB_sort/mergeSort/mergeTree/link_0_57/link_0_57_src,/TopQuery/TopDB/sortB_sort/mergeSort/mergeTree/pcu_1,/TopQuery/TopDB/sortB_sort/mergeSort/mergeTree/pcu_1,2,100000,/TopQuery/TopDB/sortB_sort/mergeSort/mergeTree/pcu_0,/TopQuery/TopDB/sortB_sort/mergeSort/mergeTree/link_0_57/link_0_57_dst0,,,,,,,,
/TopQuery/TopDB/loadA_tableLoad/link2_3/link2_3_src,/TopQuery/TopDB/loadA_tableLoad/load2,/TopQuery/TopDB/loadA_tableLoad/load2,2,100000,/TopQuery/TopDB/loadA_tableLoad/muxTree/mux_pcu,/TopQuery/TopDB/loadA_tableLoad/link2_3/link2_3_dst0,,,,,,,,
