link,ctx,src,tp,count,dst[0],out[0],dst[1],out[1],dst[2],out[2],dst[3],out[3],dst[4],out[4],dst[5],out[5],dst[6],out[6],dst[7],out[7],dst[8],out[8],dst[9],out[9],dst[10],out[10],dst[11],out[11],dst[12],out[12],dst[13],out[13],dst[14],out[14],dst[15],out[15],dst[16],out[16],dst[17],out[17],dst[18],out[18],dst[19],out[19],dst[20],out[20]
/TopQuery/TopML0/Query3ML/go1585,379,/TopQuery/TopML0/Query3ML/ArgFringe3,2,1,/TopQuery/TopML0/Query3ML/ComputeContainer1579,/TopQuery/TopML0/Query3ML/gi1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TopQuery/TopML0/Query3ML/go1588,428,/TopQuery/TopML0/Query3ML/MemoryContainer397,1,1000000,/TopQuery/TopML0/Query3ML/ComputeContainer1580,/TopQuery/TopML0/Query3ML/gi1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TopQuery/TopML0/Query3ML/go1591,478,/TopQuery/TopML0/Query3ML/MemoryContainer451,1,1000000,/TopQuery/TopML0/Query3ML/ComputeContainer1576,/TopQuery/TopML0/Query3ML/gi1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TopQuery/TopML0/Query3ML/go1594,528,/TopQuery/TopML0/Query3ML/MemoryContainer501,1,1000000,/TopQuery/TopML0/Query3ML/ComputeContainer1572,/TopQuery/TopML0/Query3ML/gi1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TopQuery/TopML0/Query3ML/go1597,574,/TopQuery/TopML0/Query3ML/MemoryContainer557,1,1000000,/TopQuery/TopML0/Query3ML/ComputeContainer1572,/TopQuery/TopML0/Query3ML/gi1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TopQuery/TopML0/Query3ML/go1600,606,/TopQuery/TopML0/Query3ML/MemoryContainer589,1,1000000,/TopQuery/TopML0/Query3ML/ComputeContainer1574,/TopQuery/TopML0/Query3ML/gi1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TopQuery/TopML0/Query3ML/go1603,635,/TopQuery/TopML0/Query3ML/MemoryContainer620,1,1000000,/TopQuery/TopML0/Query3ML/ComputeContainer1573,/TopQuery/TopML0/Query3ML/gi1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TopQuery/TopML0/Query3ML/go1606,671,/TopQuery/TopML0/Query3ML/MemoryContainer654,1,1000000,/TopQuery/TopML0/Query3ML/ComputeContainer1575,/TopQuery/TopML0/Query3ML/gi1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TopQuery/TopML0/Query3ML/go1609,701,/TopQuery/TopML0/Query3ML/MemoryContainer685,1,1000000,/TopQuery/TopML0/Query3ML/ComputeContainer1574,/TopQuery/TopML0/Query3ML/gi1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TopQuery/TopML0/Query3ML/go1612,734,/TopQuery/TopML0/Query3ML/MemoryContainer717,1,1000000,/TopQuery/TopML0/Query3ML/ComputeContainer1576,/TopQuery/TopML0/Query3ML/gi1638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
