node,tp
282,1
3271,2
3272,2
3273,2
3274,2
3275,2
3276,2
3277,2
3278,2
3279,2
3280,2
3281,2
3282,2
3283,2
3284,2
3285,2
3286,2
3287,2
3288,2
3289,2
3290,2
3291,2
3292,2
3293,2
3294,2
3295,2
3296,2
3297,2
3298,2
3299,2
3300,2
3301,2
3302,2
3303,2
3304,2
3270,2
3306,2
3307,2
3308,2
3309,2
3310,2
3311,2
3312,2
3313,2
3314,2
3315,2
3316,2
3317,2
3318,2
3319,2
3320,2
3321,2
8200,2
3238,4
3239,4
3240,4
3241,4
3242,4
3243,4
3244,4
3245,4
3254,4
3255,4
3256,4
3257,4
3258,4
3259,2
3260,4
3261,4
3262,4
3263,4
3264,4
3265,2
3266,2
3267,2
3268,2
3269,2
8198,4
8203,2
3232,4
3231,4
3228,3
8194,4
8196,4
8197,4
8199,4
8202,2
3224,3
3246,4
3247,3
3248,3
3249,4
3250,3
3251,4
3252,4
3253,4
2958,3
2770,0
177,1
2765,1
