score_vs_iteration 	benchmark 	 BlackScholes 	routing 	 route_dor 	iterations 	 100 	vc 	 7 	arbiters 	 0 	score 	 270580.00 	min_score 	 270580.00 	max_score 	 420320.00 	mean_score 	 325196.00 	score_param1 	 384 	score_param2 	 14 	score_param3 	 23204
score_vs_iteration 	benchmark 	 BlackScholes 	routing 	 route_dor 	iterations 	 300 	vc 	 8 	arbiters 	 0 	score 	 256500.00 	min_score 	 256500.00 	max_score 	 388540.00 	mean_score 	 301968.00 	score_param1 	 320 	score_param2 	 14 	score_param3 	 22436
score_vs_iteration 	benchmark 	 BlackScholes 	routing 	 route_dor 	iterations 	 500 	vc 	 8 	arbiters 	 0 	score 	 247660.00 	min_score 	 247660.00 	max_score 	 403790.00 	mean_score 	 307977.00 	score_param1 	 320 	score_param2 	 14 	score_param3 	 21552
score_vs_iteration 	benchmark 	 BlackScholes 	routing 	 route_dor 	iterations 	 700 	vc 	 7 	arbiters 	 0 	score 	 247500.00 	min_score 	 247500.00 	max_score 	 361650.00 	mean_score 	 258915.00 	score_param1 	 320 	score_param2 	 14 	score_param3 	 21536
score_vs_iteration 	benchmark 	 BlackScholes 	routing 	 route_dor 	iterations 	 900 	vc 	 6 	arbiters 	 0 	score 	 251420.00 	min_score 	 251420.00 	max_score 	 433200.00 	mean_score 	 309354.00 	score_param1 	 384 	score_param2 	 14 	score_param3 	 21288
score_vs_iteration 	benchmark 	 BlackScholes 	routing 	 route_bdor 	iterations 	 100 	vc 	 6 	arbiters 	 0 	score 	 260300.00 	min_score 	 260300.00 	max_score 	 434590.00 	mean_score 	 335205.00 	score_param1 	 320 	score_param2 	 14 	score_param3 	 22816
score_vs_iteration 	benchmark 	 BlackScholes 	routing 	 route_bdor 	iterations 	 300 	vc 	 6 	arbiters 	 0 	score 	 248980.00 	min_score 	 248980.00 	max_score 	 713640.00 	mean_score 	 335274.00 	score_param1 	 320 	score_param2 	 14 	score_param3 	 21684
score_vs_iteration 	benchmark 	 BlackScholes 	routing 	 route_bdor 	iterations 	 500 	vc 	 6 	arbiters 	 0 	score 	 236020.00 	min_score 	 236020.00 	max_score 	 366140.00 	mean_score 	 261970.00 	score_param1 	 256 	score_param2 	 14 	score_param3 	 21028
score_vs_iteration 	benchmark 	 BlackScholes 	routing 	 route_bdor 	iterations 	 700 	vc 	 7 	arbiters 	 0 	score 	 238580.00 	min_score 	 238580.00 	max_score 	 397340.00 	mean_score 	 318448.00 	score_param1 	 256 	score_param2 	 14 	score_param3 	 21284
score_vs_iteration 	benchmark 	 BlackScholes 	routing 	 route_bdor 	iterations 	 900 	vc 	 6 	arbiters 	 0 	score 	 233540.00 	min_score 	 233540.00 	max_score 	 706120.00 	mean_score 	 357233.00 	score_param1 	 256 	score_param2 	 14 	score_param3 	 20780
score_vs_iteration 	benchmark 	 BlackScholes 	routing 	 route_min_local 	iterations 	 100 	vc 	 7 	arbiters 	 0 	score 	 270580.00 	min_score 	 270580.00 	max_score 	 738720.00 	mean_score 	 401419.00 	score_param1 	 320 	score_param2 	 14 	score_param3 	 23844
