iss_lock,1-stage,2-stage,4-stage,8-stage,16-stage,64-stage
0, 278800, 100858, 39770, 15686, 3606, 760
1, 87664, 80295, 66578, 64654, 51293, 11906
2, 21055, 21931, 19978, 25344, 37192, 20769
3, 14946, 14722, 12710, 11459, 16979, 25394
4, 24387, 20799, 16417, 11628, 8757, 23450
5, 19108, 17079, 15660, 11745, 6920, 19572
6, 5168, 6540, 8783, 8724, 6365, 13245
7, 1051, 2876, 4211, 5511, 5807, 8885
8, 3805, 4685, 4975, 5480, 6072, 7989
9, 11622, 11543, 11120, 10168, 8818, 9866
10, 19023, 18709, 18397, 16722, 14596, 14495
11, 16916, 17072, 17922, 18645, 18920, 19500
12, 8212, 8720, 10436, 13405, 17659, 20495
13, 1973, 2222, 3247, 5980, 10102, 13469
14, 233, 276, 519, 1439, 3104, 4754
15, 8, 8, 26, 136, 412, 624
16, 0, 0, 0, 3, 11, 19

