iss_lock,4-subbanks,8-subbanks,16-subbanks,32-subbanks,64-subbanks,128-subbanks,256-subbanks,512-subbanks,1024-subbanks,2048-subbanks,1048576-subbanks
0, 62422, 59116, 48665, 31491, 18543, 10003, 5867, 4318, 3856, 3580, 3491
1, 60305, 57410, 52735, 51365, 47667, 46987, 48616, 49652, 50622, 50360, 52536
2, 20888, 22678, 23612, 25904, 25564, 23326, 25373, 29424, 32727, 35662, 40897
3, 15482, 16935, 17056, 18828, 19267, 17687, 14888, 14653, 15230, 16221, 19333
4, 23724, 17284, 16729, 18542, 18596, 17010, 13281, 10393, 9118, 8759, 9075
5, 18097, 14787, 16514, 19638, 20846, 18122, 13785, 10166, 8126, 7187, 7245
6, 5586, 10236, 12912, 15420, 16888, 17028, 14031, 10524, 8077, 7067, 5851
7, 2133, 7413, 10625, 12665, 14539, 16144, 14886, 11240, 8524, 6896, 4328
8, 4314, 9084, 14735, 17731, 18794, 18771, 17357, 13831, 10132, 7512, 3907
9, 11257, 14052, 19947, 20431, 19879, 19230, 19153, 17186, 13894, 10957, 5749
10, 18468, 16399, 16426, 13141, 11887, 13411, 16432, 18711, 18469, 16646, 10794
11, 16808, 12821, 7533, 4339, 4105, 6079, 10109, 14890, 18284, 19118, 16181
12, 8317, 6427, 1795, 748, 727, 1744, 4238, 8295, 12425, 15756, 18681
13, 2022, 1867, 205, 66, 89, 290, 1082, 2701, 5114, 7697, 14718
14, 240, 216, 8, 1, 5, 19, 142, 467, 1089, 2041, 6368
15, 10, 5, 0, 0, 1, 0, 11, 31, 94, 230, 1070
16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 32

