req_PMU,1-stage,2-stage,4-stage,8-stage,16-stage,64-stage
0, 129265, 23158, 11723, 17032, 24038, 27308
1, 72416, 29187, 5963, 3887, 3429, 3675
2, 41012, 23615, 7042, 3863, 3089, 3108
3, 20380, 19800, 7353, 3691, 2736, 2692
4, 20880, 16920, 7137, 3367, 2510, 2400
5, 34700, 13361, 6793, 3399, 2278, 2189
6, 38156, 10277, 6601, 3248, 2265, 2129
7, 23240, 7910, 6258, 3286, 1997, 1932
8, 7570, 7645, 6509, 3154, 1869, 1716
9, 1294, 9789, 6432, 3195, 1939, 1606
10, 138, 12737, 6410, 3097, 1818, 1496
11, 32, 12986, 6079, 3080, 1732, 1498
12, 20, 9103, 5361, 3144, 1724, 1445
13, 26, 4753, 5010, 3044, 1618, 1346
14, 40, 1733, 4197, 3117, 1637, 1325
15, 20, 440, 3807, 2981, 1599, 1270
16, 124782, 56291, 17134, 9151, 6195, 5856
17, 0, 9798, 13312, 5840, 2764, 2171
18, 0, 3775, 11395, 5436, 2593, 1997
19, 0, 4549, 10047, 5553, 2742, 2012
20, 0, 10437, 10205, 5980, 3168, 2490
21, 0, 15832, 11361, 6990, 3745, 2986
22, 0, 14539, 11346, 7406, 3804, 3171
23, 0, 7303, 9851, 7281, 3658, 2746
24, 0, 2077, 8185, 6879, 3496, 2631
25, 0, 299, 7360, 6954, 3699, 2764
26, 0, 21, 7233, 6958, 3863, 2948
27, 0, 0, 6758, 6873, 3887, 3045
28, 0, 0, 5983, 6585, 3801, 2944
29, 0, 0, 5125, 6401, 3864, 2880
30, 0, 0, 4199, 6207, 3805, 2997
31, 0, 0, 3431, 6033, 3960, 2973
32, 0, 0, 2470, 5753, 3834, 3050
33, 0, 0, 1452, 5555, 3869, 3013
34, 0, 0, 749, 5195, 3839, 2890
35, 0, 0, 302, 4961, 3826, 2998
36, 0, 0, 126, 4564, 3804, 2993
37, 0, 0, 39, 4229, 3855, 2971
38, 0, 0, 8, 3635, 3783, 2915
39, 0, 0, 1, 3385, 3737, 2966
40, 0, 0, 2, 3010, 3692, 2872
41, 0, 0, 0, 2552, 3621, 2868
42, 0, 0, 0, 2258, 3575, 2919
43, 0, 0, 0, 1964, 3432, 2814
44, 0, 0, 0, 1671, 3500, 2688
45, 0, 0, 0, 1303, 3460, 2740
46, 0, 0, 0, 1103, 3294, 2701
47, 0, 0, 0, 831, 3172, 2631
48, 0, 0, 0, 641, 3142, 2572
49, 0, 0, 0, 383, 3027, 2547
50, 0, 0, 0, 268, 2922, 2391
51, 0, 0, 0, 161, 2867, 2361
52, 0, 0, 0, 79, 2701, 2346
53, 0, 0, 0, 54, 2635, 2430
54, 0, 0, 0, 30, 2530, 2258
55, 0, 0, 0, 17, 2365, 2252
56, 0, 0, 0, 10, 2302, 2041
57, 0, 0, 0, 3, 2153, 2111
58, 0, 0, 0, 0, 2064, 2040
59, 0, 0, 0, 1, 1842, 2033
60, 0, 0, 0, 1, 1752, 1922
61, 0, 0, 0, 0, 1598, 1892
62, 0, 0, 0, 0, 1426, 1724
63, 0, 0, 0, 0, 1269, 1783
64, 0, 0, 0, 0, 6403, 30714

