req_lock,4-subbanks,8-subbanks,16-subbanks,32-subbanks,64-subbanks,128-subbanks,256-subbanks,512-subbanks,1024-subbanks,2048-subbanks,1048576-subbanks
0, 62422, 59116, 48665, 31491, 18543, 10003, 5867, 4318, 3856, 3580, 3491
1, 49363, 47459, 44446, 42083, 37363, 35768, 37423, 38621, 39461, 40110, 41001
2, 21871, 22020, 22021, 23686, 23094, 20628, 21745, 24487, 26667, 28032, 32539
3, 10889, 13728, 14746, 15835, 15888, 14436, 13540, 13909, 15360, 16725, 19519
4, 10975, 12349, 11676, 12012, 11785, 11347, 9602, 9296, 9594, 9833, 11335
5, 17158, 12797, 10976, 11138, 10326, 9791, 8214, 7117, 6502, 6384, 6783
6, 18209, 11487, 10927, 11665, 11059, 9502, 7488, 6064, 5135, 4886, 5273
7, 10849, 9156, 9850, 11757, 12431, 9911, 7193, 5640, 4712, 4226, 4404
8, 3731, 6782, 8474, 10195, 11935, 9883, 7130, 5250, 4272, 3787, 3829
9, 1155, 4740, 6402, 7779, 9147, 8870, 6731, 5002, 3991, 3564, 3148
10, 816, 3410, 4909, 5201, 6311, 7285, 6333, 4804, 3772, 3280, 2743
11, 801, 3058, 4584, 4066, 3930, 5757, 5950, 4710, 3633, 3019, 2283
12, 752, 3620, 4997, 4186, 3369, 5148, 5711, 4679, 3679, 2773, 1961
13, 629, 5170, 6195, 5873, 4707, 5636, 5764, 4805, 3741, 2749, 1578
14, 384, 7143, 7540, 8029, 7517, 6833, 6298, 5178, 3945, 3137, 1329
15, 163, 7979, 8315, 9795, 10267, 8203, 6673, 5572, 4433, 3668, 1295
16, 57480, 12421, 8305, 10134, 11600, 8983, 7030, 5875, 4840, 4409, 4632
17, 141, 7043, 7681, 8953, 10183, 8707, 7091, 6211, 5259, 4633, 4043
18, 341, 6269, 6278, 6648, 7276, 7604, 6788, 6095, 5305, 4668, 3574
19, 522, 4547, 4692, 4365, 4744, 5935, 6166, 5782, 5251, 4701, 3257
20, 542, 2883, 3187, 2751, 2785, 4400, 5401, 5416, 5034, 4386, 2909
21, 427, 1713, 2027, 1435, 1460, 3103, 4650, 5053, 4835, 4271, 2930
22, 255, 951, 1214, 719, 780, 2385, 3854, 4581, 4604, 4051, 2655
23, 112, 476, 694, 300, 372, 1707, 3223, 4188, 4185, 3984, 2224
24, 61, 235, 375, 136, 240, 1243, 2847, 3710, 4145, 3841, 2047
25, 18, 117, 169, 48, 123, 956, 2361, 3277, 3661, 3597, 1814
26, 5, 40, 89, 19, 83, 675, 1951, 3016, 3422, 3351, 1796
27, 2, 11, 41, 10, 44, 445, 1549, 2585, 3055, 3030, 1683
28, 0, 5, 18, 0, 19, 296, 1262, 2184, 2852, 2924, 1741
29, 0, 3, 2, 1, 9, 167, 916, 1801, 2552, 2637, 1625
30, 0, 2, 1, 0, 4, 100, 745, 1625, 2285, 2552, 1679
31, 0, 0, 1, 0, 2, 59, 555, 1265, 2006, 2386, 1603
32, 0, 0, 0, 0, 0, 42, 378, 1038, 1742, 2225, 1509
33, 0, 0, 0, 0, 0, 22, 248, 878, 1557, 1906, 1544
34, 0, 0, 0, 0, 1, 7, 189, 647, 1281, 1792, 1525
35, 0, 0, 0, 0, 0, 10, 125, 496, 1060, 1627, 1541
36, 0, 0, 0, 0, 0, 2, 86, 343, 861, 1476, 1464
37, 0, 0, 0, 0, 0, 1, 74, 296, 722, 1172, 1435
38, 0, 0, 0, 0, 0, 0, 40, 208, 591, 1049, 1456
39, 0, 0, 0, 0, 0, 1, 26, 129, 476, 977, 1441
40, 0, 0, 0, 0, 0, 0, 15, 114, 352, 799, 1439
41, 0, 0, 0, 0, 0, 0, 4, 82, 283, 665, 1488
42, 0, 0, 0, 0, 0, 0, 6, 50, 238, 561, 1413
43, 0, 0, 0, 0, 0, 0, 4, 28, 163, 461, 1401
44, 0, 0, 0, 0, 0, 0, 4, 26, 112, 365, 1415
45, 0, 0, 0, 0, 0, 0, 1, 10, 90, 309, 1365
46, 0, 0, 0, 0, 0, 0, 0, 6, 58, 241, 1406
47, 0, 0, 0, 0, 0, 0, 0, 2, 48, 223, 1319
48, 0, 0, 0, 0, 0, 0, 0, 7, 23, 149, 1360
49, 0, 0, 0, 0, 0, 0, 0, 0, 29, 114, 1281
50, 0, 0, 0, 0, 0, 0, 0, 4, 20, 94, 1184
51, 0, 0, 0, 0, 0, 0, 0, 0, 11, 73, 1163
52, 0, 0, 0, 0, 0, 0, 0, 2, 10, 63, 1156
53, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38, 1007
54, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39, 946
55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 919
56, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 789
57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 706
58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 637
59, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 559
60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 479
61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 412
62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 388
63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 314
64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1072

