stage_occ_PMU,4-stage-lock,4-stage-nolock,8-stage-lock,8-stage-nolock,16-stage-lock,16-stage-nolock,64-stage-lock,64-stage-nolock
0, 6471, 7, 8237, 7, 9270, 7, 9817, 7
1, 3360, 1, 3840, 1, 4143, 1, 4422, 1
2, 6354, 125005, 4761, 125005, 5188, 125005, 5528, 125005
3, 37340, 0, 5515, 0, 6122, 0, 6401, 0
4, 204173,0, 6143,0, 6903,0, 7280,0
5, 0,0, 7783,0, 7598,0, 7876,0
6, 0,0, 14265,0, 8099,0, 8720,0
7, 0,0, 36572,0, 8457,0, 9165,0
8,0,0, 144435,0, 8782,0, 9512,0
9,0,0, 0,0, 8908,0, 9599,0
10,0,0, 0,0, 9127,0, 9587,0
11,0,0, 0,0, 10261,0, 9648,0
12,0,0, 0,0, 11256,0, 9605,0
13,0,0, 0,0, 13576,0, 9192,0
14,0,0, 0,0, 16803,0, 8895,0
15,0,0, 0,0, 22932,0, 8591,0
16,0,0,0,0, 60930,0, 8249,0
17,0,0,0,0, 0,0, 7876,0
18,0,0,0,0, 0,0, 7233,0
19,0,0,0,0, 0,0, 6885,0
20,0,0,0,0, 0,0, 6268,0
21,0,0,0,0, 0,0, 5854,0
22,0,0,0,0, 0,0, 5132,0
23,0,0,0,0, 0,0, 4915,0
24,0,0,0,0, 0,0, 4228,0
25,0,0,0,0, 0,0, 3780,0
26,0,0,0,0, 0,0, 3312,0
27,0,0,0,0, 0,0, 2860,0
28,0,0,0,0, 0,0, 2529,0
29,0,0,0,0, 0,0, 2076,0
30,0,0,0,0, 0,0, 1878,0
31,0,0,0,0, 0,0, 1526,0
32,0,0,0,0,0,0, 1223,0
33,0,0,0,0,0,0, 1008,0
34,0,0,0,0,0,0, 896,0
35,0,0,0,0,0,0, 757,0
36,0,0,0,0,0,0, 670,0
37,0,0,0,0,0,0, 476,0
38,0,0,0,0,0,0, 429,0
39,0,0,0,0,0,0, 395,0
40,0,0,0,0,0,0, 253,0
41,0,0,0,0,0,0, 198,0
42,0,0,0,0,0,0, 152,0
43,0,0,0,0,0,0, 116,0
44,0,0,0,0,0,0, 87,0
45,0,0,0,0,0,0, 75,0
46,0,0,0,0,0,0, 47,0
47,0,0,0,0,0,0, 38,0
48,0,0,0,0,0,0, 31,0
49,0,0,0,0,0,0, 15,0
50,0,0,0,0,0,0, 12,0
51,0,0,0,0,0,0, 3,0
52,0,0,0,0,0,0, 3,0
53,0,0,0,0,0,0, 9,0
54,0,0,0,0,0,0, 6,0
55,0,0,0,0,0,0, 15,0
56,0,0,0,0,0,0, 5,0
57,0,0,0,0,0,0, 14,0
58,0,0,0,0,0,0, 0,0
59,0,0,0,0,0,0, 0,0
60,0,0,0,0,0,0, 0,0
61,0,0,0,0,0,0, 0,0
62,0,0,0,0,0,0, 0,0
63,0,0,0,0,0,0, 0,0

