stage_occ_PMU_2d,4-pipedepth,8-pipedepth,16-pipedepth,64-pipedepth
 1, 48530, 16107, 15198, 15945
 2, 153347, 43948, 19364, 15904
 3, 23091, 63392, 20703, 16157
 4, 5489, 43493, 22653, 15867
 5,0, 14205, 22447, 15021
 6,0, 7858, 20271, 13923
 7,0, 6032, 17059, 12887
 8,0, 3713, 12634, 11580
 9,0,0, 8892, 10337
 10,0,0, 6607, 8674
 11,0,0, 5525, 7661
 12,0,0, 4094, 6557
 13,0,0, 3164, 5356
 14,0,0, 2290, 4648
 15,0,0, 1432, 3980
 16,0,0, 817, 3150
 17,0,0,0, 2542
 18,0,0,0, 2199
 19,0,0,0, 1671
 20,0,0,0, 1311
 21,0,0,0, 1012
 22,0,0,0, 791
 23,0,0,0, 650
 24,0,0,0, 445
 25,0,0,0, 354
 26,0,0,0, 356
 27,0,0,0, 211
 28,0,0,0, 151
 29,0,0,0, 114
 30,0,0,0, 110
 31,0,0,0, 71
 32,0,0,0, 41
 33,0,0,0, 29
 34,0,0,0, 24
 35,0,0,0, 17
 36,0,0,0, 38
 37,0,0,0, 13
 38,0,0,0, 6
 39,0,0,0, 18
 40,0,0,0, 4
 41,0,0,0, 4
 42,0,0,0, 4
 43,0,0,0, 12
 44,0,0,0, 2
 45,0,0,0, 2

